periode,valeur
2010-01,3.526666666666667
2010-02,2.506666666666667
2010-03,2.02
2010-04,1.8333333333333333
2010-05,1.7999999999999998
2010-06,1.7333333333333332
2010-07,1.6133333333333333
2010-08,1.4233333333333331
2010-09,1.3333333333333333
2010-10,1.3033333333333335
2010-11,1.2233333333333334
2010-12,1.1733333333333333
2011-01,1.105
2011-02,1.145
2011-03,1.125
2011-04,1.155
2011-05,1.2149999999999999
2011-06,1.2149999999999999
2011-07,1.315
2011-08,1.345
2011-09,1.36
2011-10,1.435
2011-11,1.57
2011-12,1.82
2012-01,1.635
2012-02,1.37
2012-03,1.25
2012-04,1.1400000000000001
2012-05,1.0899999999999999
2012-06,1.05
2012-07,0.93
2012-08,0.77
2012-09,0.6950000000000001
2012-10,0.64
2012-11,0.635
2012-12,0.615
2013-01,0.515
2013-02,0.48
2013-03,0.47
2013-04,0.53
2013-05,0.575
2013-06,0.56
2013-07,0.44000000000000006
2013-08,0.35
2013-09,0.335
2013-10,0.335
2013-11,0.32
2013-12,0.325
2014-01,0.41
2014-02,0.41
2014-03,0.41
2014-04,0.41
2014-05,0.41
2014-06,0.38
2014-07,0.35
2014-08,0.33
2014-09,0.24
2014-11,0.19
2014-12,0.18
