periode,valeur
2010-01,0.8
2010-02,0.8
2010-03,1.9
2010-04,2.0
2010-05,2.5
2010-06,2.7
2010-07,2.4
2010-08,2.4
2010-09,2.9
2010-10,3.1
2010-11,3.0
2010-12,3.4
2011-01,3.5
2011-02,3.5
2011-03,3.3
2011-04,3.1
2011-05,2.9
2011-06,3.3
2011-07,4.0
2011-08,3.4
2011-09,3.2
2011-10,3.2
2011-11,3.5
2011-12,3.2
2012-01,3.3
2012-02,3.4
2012-03,3.1
2012-04,2.9
2012-05,2.6
2012-06,2.2
2012-07,2.0
2012-08,2.6
2012-09,2.6
2012-10,2.7
2012-11,2.2
2012-12,2.1
2013-01,1.5
2013-02,1.5
2013-03,1.4
2013-04,1.2
2013-05,1.2
2013-06,1.6
2013-07,1.6
2013-08,1.1
2013-09,1.0
2013-10,0.7
2013-11,0.9
2013-12,1.2
2014-01,1.1
2014-02,0.8
2014-03,0.8
2014-04,0.8
2014-05,0.7
2014-06,0.6
2014-07,0.5
2014-08,0.4
2014-09,0.2
2014-10,0.3
2014-11,0.1
2014-12,-0.4
2015-01,-0.6
2015-02,-0.4
2015-03,-0.1
2015-04,0.4
2015-05,0.8
2015-06,0.9
2015-07,0.9
2015-08,0.8
2015-09,0.9
2015-10,1.2
2015-11,1.4
2015-12,1.5
2016-01,1.8
2016-02,1.1
2016-03,1.6
2016-04,1.5
2016-05,1.6
2016-06,1.8
2016-07,2.0
2016-08,2.0
2016-09,1.8
2016-10,1.9
2016-11,1.7
2016-12,2.2
2017-01,3.1
2017-02,3.3
2017-03,2.5
2017-04,2.7
2017-05,1.9
2017-06,1.5
2017-07,1.8
2017-08,2.0
2017-09,2.0
2017-10,1.8
2017-11,2.1
2017-12,2.1
2018-01,1.8
2018-02,1.5
2018-03,1.5
2018-04,1.6
2018-05,2.3
2018-06,2.6
2018-07,2.7
2018-08,2.6
2018-09,2.8
2018-10,3.2
2018-11,2.9
2018-12,2.2
2019-01,1.8
2019-02,2.0
2019-03,2.2
2019-04,2.0
2019-05,1.7
2019-06,1.3
2019-07,1.2
2019-08,0.9
2019-09,0.6
2019-10,0.2
2019-11,0.4
2019-12,0.9
2020-01,1.4
2020-02,1.0
2020-03,0.4
2020-04,0.0
2020-05,-0.2
2020-06,0.2
2020-07,1.7
2020-08,-0.9
2020-09,0.5
2020-10,0.4
2020-11,0.2
2020-12,0.4
2021-01,0.6
2021-02,0.3
2021-03,1.6
2021-04,2.1
2021-05,2.5
2021-06,2.6
2021-07,1.4
2021-08,4.7
2021-09,3.8
2021-10,5.4
2021-11,7.1
2021-12,6.6
2022-01,8.5
2022-02,9.5
2022-03,9.3
2022-04,9.3
2022-05,9.9
2022-06,10.5
2022-07,10.4
2022-08,10.5
2022-09,12.1
2022-10,13.1
2022-11,10.5
2022-12,10.2
2023-01,7.4
2023-02,5.4
2023-03,4.9
2023-04,3.3
2023-05,2.7
2023-06,1.6
2023-07,1.7
2023-08,2.4
2023-09,0.7
2023-10,-1.7
2023-11,-0.8
2023-12,0.5
2024-01,1.5
2024-02,3.6
2024-03,3.8
2024-04,4.9
2024-05,4.9
2024-06,5.4
2024-07,5.4
2024-08,4.3
2024-09,4.3
2024-10,4.5
2024-11,4.8
2024-12,4.4
2025-01,4.4
2025-02,4.4
2025-03,3.6
2025-04,3.1
2025-05,2.8
2025-06,2.9
2025-07,2.6
2025-08,2.6
2025-09,2.7
2025-10,2.5
2025-11,2.6
2025-12,2.2
