periode,valeur
2010-01,3.75
2010-02,3.73
2010-03,3.63
2010-04,3.54
2010-05,3.31
2010-06,3.47
2010-07,3.29
2010-08,3.03
2010-09,3.12
2010-10,3.21
2010-11,3.48
2010-12,3.99
2011-01,4.14
2011-02,4.21
2011-03,4.21
2011-04,4.29
2011-05,4.21
2011-06,4.14
2011-07,4.22
2011-08,4.11
2011-09,3.88
2011-10,4.2
2011-11,4.84
2011-12,4.35
2012-01,4.11
2012-02,3.7
2012-03,3.53
2012-04,3.52
2012-05,3.3
2012-06,3.17
2012-07,2.69
2012-08,2.54
2012-09,2.61
2012-10,2.44
2012-11,2.29
2012-12,2.1
2013-01,2.31
2013-02,2.46
2013-03,2.25
2013-04,2.04
2013-05,2.06
2013-06,2.44
2013-07,2.54
2013-08,2.65
2013-09,2.75
2013-10,2.57
2013-11,2.42
2013-12,2.43
2014-01,2.45
2014-02,2.4
2014-03,2.26
2014-04,2.16
2014-05,1.99
2014-06,1.83
2014-07,1.61
2014-08,1.4
2014-09,1.3
2014-10,1.18
2014-11,1.07
2014-12,0.91
2015-01,0.73
2015-02,0.63
2015-03,0.49
2015-04,0.42
2015-05,0.86
2015-06,1.21
2015-07,1.15
2015-08,1.0
2015-09,1.01
2015-10,0.85
2015-11,0.84
2015-12,0.89
2016-01,0.86
2016-02,0.72
2016-03,0.62
2016-04,0.55
2016-05,0.55
2016-06,0.43
2016-07,0.2
2016-08,0.15
2016-09,0.18
2016-10,0.27
2016-11,0.57
2016-12,0.61
2017-01,0.7
2017-02,0.87
2017-03,0.87
2017-04,0.78
2017-05,0.77
2017-06,0.62
2017-07,0.83
2017-08,0.73
2017-09,0.7
2017-10,0.69
2017-11,0.58
2017-12,0.53
2018-01,0.7
2018-02,0.97
2018-03,0.87
2018-04,0.81
2018-05,0.83
2018-06,0.79
2018-07,0.68
2018-08,0.71
2018-09,0.77
2018-10,0.85
2018-11,0.81
2018-12,0.75
2019-01,0.77
2019-02,0.69
2019-03,0.54
2019-04,0.47
2019-05,0.41
2019-06,0.15
2019-07,0.0
2019-08,-0.28
2019-09,-0.24
2019-10,-0.16
2019-11,-0.04
2019-12,0.01
2020-01,-0.03
2020-02,-0.13
2020-03,-0.02
2020-04,0.14
2020-05,0.04
2020-06,-0.04
2020-07,-0.17
2020-08,-0.21
2020-09,-0.25
2020-10,-0.34
2020-11,-0.38
2020-12,-0.39
2021-01,-0.36
2021-02,-0.21
2021-03,-0.04
2021-04,0.04
2021-05,0.18
2021-06,0.12
2021-07,-0.03
2021-08,-0.14
2021-09,0.01
2021-10,0.16
2021-11,0.07
2021-12,0.03
2022-01,0.26
2022-02,0.59
2022-03,0.79
2022-04,1.3
2022-05,1.58
2022-06,2.13
2022-07,1.8
2022-08,1.71
2022-09,2.45
2022-10,2.84
2022-11,2.65
2022-12,2.7
2023-01,2.79
2023-02,2.96
2023-03,3.04
2023-04,3.06
2023-05,3.04
2023-06,3.05
2023-07,3.14
2023-08,3.22
2023-09,3.32
2023-10,3.52
2023-11,3.23
2023-12,2.7
2024-01,2.81
2024-02,2.95
2024-03,2.91
2024-04,3.01
2024-05,3.06
2024-06,3.12
2024-07,3.06
2024-08,2.83
2024-09,2.79
2024-10,2.84
2024-11,2.92
2024-12,2.8
2025-01,3.1
2025-02,3.01
2025-03,3.32
2025-04,3.14
2025-05,3.14
2025-06,3.09
2025-07,3.21
2025-08,3.23
2025-09,3.26
2025-10,3.19
2025-11,3.2
2025-12,3.32
