periode,valeur
2010-Q1,0.8
2010-Q2,2.6
2010-Q3,2.4
2010-Q4,3.2
2011-Q1,3.8
2011-Q2,3.7
2011-Q3,3.5
2011-Q4,3.4
2012-Q1,3.2
2012-Q2,2.7
2012-Q3,1.8
2012-Q4,1.7
2013-Q1,1.4
2013-Q2,1.7
2013-Q3,1.7
2013-Q4,1.1
2014-Q1,-0.4
2014-Q2,-0.9
2014-Q3,-0.7
2014-Q4,0.7
2015-Q1,0.5
2015-Q2,1.8
2015-Q3,2.7
2015-Q4,2.2
2016-Q1,2.5
2016-Q2,2.3
2016-Q3,2.1
2016-Q4,2.4
2017-Q1,4.0
2017-Q2,3.0
2017-Q3,4.0
2017-Q4,3.1
2018-Q1,2.9
2018-Q2,3.9
2018-Q3,2.6
2018-Q4,2.7
2019-Q1,3.4
2019-Q2,3.1
2019-Q3,4.3
2019-Q4,4.2
2020-Q1,3.8
2020-Q2,4.3
2020-Q3,3.2
2020-Q4,5.9
2021-Q1,6.2
2021-Q2,7.0
2021-Q3,7.6
2021-Q4,5.9
2022-Q1,6.2
2022-Q2,5.9
2022-Q3,5.4
2022-Q4,4.6
2023-Q1,3.9
2023-Q2,1.8
2023-Q3,1.0
2023-Q4,2.8
2024-Q1,3.2
2024-Q2,3.3
2024-Q3,3.6
2024-Q4,2.8
2025-Q1,2.7
2025-Q2,2.9
2025-Q3,3.7
2025-Q4,3.5
